dt,Цена на арматуру,CHMF_price,CHMF_volume,MAGN_price,MAGN_volume,NLMK_price,NLMK_volume,Ключевая ставка,Курс $,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",Цена на бензин,Цена на дт
2018-05-21,37900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-28,37900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-04,37600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-11,37400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-18,37400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25,37100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-02,37100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-09,37200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-16,37800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-23,37500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-30,37500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-06,39400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-13,39650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-20,40750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-27,43100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-03,48700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-10,48850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-17,48350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-24,44600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,42600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08,41500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,40800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-22,39700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-29,39500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05,38800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,38300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,37600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,37600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,37300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-17,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-24,36700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,35700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21,35300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-28,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-04,33800,14.200000000000044,1100000.0,4384.0,-1720000.0,1.2199999999999989,3400000.0,0.0,0.0,0.0,21.0,1513.0,253.0,531.0,8.0,0.0,0.0,3.0,22.0,21.0,-10.0,21.0,0.0,646.0,8.0,0.0,0.0,631.0,0.0,0.0,0.0,4135.0,0.0,6.0,0.0,2.5,258.0,0.0,14.0,0.0,0.0,-2.5,2.5,0.0,4191.0,0.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0
2019-02-11,34550,9.200000000000044,731290.0,4325.0,990000.0,0.2999999999999829,2470000.0,0.0,0.0,-450.0,14.0,306.0,7.0,359.0,8.0,-0.5,-250.0,9.0,20.0,7.0,15.0,5.0,-200.0,284.0,8.0,-275.0,175.0,420.0,900.0,5.0,265.0,4565.0,0.0,-1.0,750.0,0.0,619.0,-225.0,20.0,85.0,75.0,0.0,5.0,0.0,4191.0,0.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0
2019-02-18,36000,-11.200000000000044,373280.0,4294.0,-3720000.0,-2.3799999999999955,2060000.0,0.0,0.0,0.0,-2.0,-26.0,62.0,131.0,-3.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,404.0,-2.0,0.0,0.0,144.0,0.0,2.0,0.0,4565.0,0.0,3.0,0.0,-5.0,293.0,0.0,-2.0,0.0,0.0,12.5,0.0,0.0,4191.0,0.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0
2019-02-25,37700,28.19999999999993,929280.0,4470.0,2460000.0,0.9399999999999976,2670000.0,0.0,0.0,0.0,-8.0,601.0,56.0,738.0,0.0,12.5,0.0,0.0,0.0,-8.0,0.0,3.0,0.0,842.0,0.0,0.0,0.0,786.0,0.0,11.0,0.0,4565.0,0.0,4.0,0.0,2.5,592.0,0.0,-7.0,0.0,0.0,5.0,5.0,0.0,4191.0,0.0,48.0,64.0,0.0,0.0,0.0,0.0,0.0
2019-03-04,40200,12.599999999999907,1120000.0,4397.0,-8440000.0,4.299999999999983,5550000.0,0.0,0.0,0.0,-10.0,888.0,435.0,162.0,-3.0,-2.5,0.0,-3.0,-16.0,-10.0,0.0,-5.0,0.0,525.0,-3.0,0.0,0.0,608.0,0.0,2.0,0.0,4565.0,0.0,3.0,0.0,-2.5,561.0,0.0,-10.0,0.0,0.0,0.0,-2.5,760.0,4621.0,616.0,55.0,71.0,12.0,14.0,14.0,0.0,0.0
2019-03-11,40200,5.0,343640.0,4421.0,7190000.0,-2.0600000000000023,3870000.0,0.0,0.0,-50.0,8.0,671.0,673.0,480.0,2.0,0.0,0.0,-2.5,2.0,12.0,12.0,10.0,-50.0,953.0,2.0,-75.0,-75.0,493.0,0.0,0.0,465.0,5000.0,500.0,2.0,585.0,0.0,956.0,0.0,10.0,-26.0,0.0,2.5,0.0,0.0,4621.0,0.0,55.0,71.0,0.0,0.0,0.0,0.0,0.0
2019-03-18,39900,-2.599999999999909,1100000.0,4633.0,-21970000.0,3.0,3270000.0,0.0,0.0,0.0,2.0,73.0,113.0,574.0,-2.0,2.5,0.0,-1.0,3.0,0.0,0.0,5.0,0.0,-5.0,-1.0,0.0,0.0,423.0,0.0,5.0,0.0,5000.0,0.0,-1.0,0.0,10.0,94.0,0.0,3.0,0.0,0.0,11.0,7.5,0.0,4621.0,0.0,55.0,71.0,0.0,0.0,0.0,0.0,0.0
2019-03-25,39400,-5.2000000000000455,424930.0,4515.0,700000.0,-1.0999999999999943,1820000.0,0.0,0.0,0.0,0.0,-33.0,302.0,-302.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0,-465.0,0.0,-5.0,0.0,5000.0,0.0,-1.0,0.0,20.0,59.0,0.0,0.0,0.0,0.0,-3.0,7.5,0.0,4621.0,0.0,55.0,71.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,39300,0.2000000000000454,626230.0,4597.0,330000.0,2.0800000000000125,2970000.0,0.0,0.0,0.0,-3.0,-299.0,278.0,-392.0,-1.0,0.0,0.0,-1.0,-3.0,0.0,0.0,-5.0,0.0,-428.0,0.0,0.0,0.0,-304.0,0.0,10.0,0.0,5000.0,0.0,-5.0,0.0,0.0,-401.0,0.0,-4.0,0.0,0.0,0.0,-7.5,598.0,5043.0,321.0,62.0,79.0,9.0,-1.0,-3.0,0.0,0.0
2019-04-08,39500,-0.2000000000000454,410900.0,4509.0,270000.0,0.5400000000000205,2490000.0,0.0,0.0,325.0,-5.0,-1138.0,-491.0,-763.0,6.0,0.0,0.0,0.0,-6.0,-5.0,0.0,-5.0,250.0,-1001.0,6.5,350.0,150.0,-1090.0,0.0,-5.0,27.5,5100.0,-825.0,-6.0,45.0,-2.5,-482.0,225.0,-6.0,150.0,-75.0,2.0,-7.5,0.0,5043.0,0.0,62.0,79.0,0.0,0.0,0.0,0.0,0.0
2019-04-15,39500,-1.2000000000000457,448560.0,4400.0,-3570000.0,-3.8400000000000034,2600000.0,0.0,0.0,0.0,-7.0,-349.0,-236.0,-244.0,4.0,0.0,0.0,6.0,-8.0,-7.0,0.0,0.0,0.0,-607.0,4.5,0.0,0.0,-248.0,0.0,5.0,0.0,5100.0,0.0,1.0,0.0,-5.0,-590.0,0.0,-7.0,0.0,0.0,2.5,0.0,0.0,5043.0,0.0,62.0,79.0,0.0,0.0,0.0,0.0,0.0
2019-04-22,39300,6.400000000000091,186690.0,4420.0,252500.0,0.2800000000000011,743320.0,0.0,0.0,0.0,7.0,-1464.0,-449.0,-1216.0,-2.0,-2.5,0.0,-1.0,5.0,7.0,-12.0,0.0,0.0,-652.0,-1.5,0.0,0.0,-1218.0,0.0,-5.0,0.0,5100.0,0.0,3.0,0.0,-2.5,-737.0,0.0,6.0,0.0,0.0,-17.5,5.0,0.0,5043.0,0.0,62.0,79.0,0.0,0.0,0.0,0.0,0.0
2019-04-29,39300,-1.400000000000091,364550.0,4416.0,-1660000.0,-3.4399999999999977,3050000.0,0.0,0.0,0.0,-2.0,-795.0,-349.0,-333.0,0.0,-2.5,0.0,0.0,-3.0,-2.0,-5.0,-20.0,0.0,-93.0,0.0,0.0,0.0,-336.0,0.0,0.0,0.0,5100.0,0.0,-1.0,0.0,-2.5,-149.0,0.0,-2.0,0.0,0.0,-5.0,-2.5,9.0,5151.0,5.0,64.0,79.0,1.0,3.0,7.0,0.0,0.0
2019-05-06,39300,-22.40000000000009,464390.0,4570.0,-1500000.0,0.8600000000000136,2050000.0,0.0,0.0,-225.0,-10.0,28.0,-414.0,-122.0,1.0,0.0,0.0,1.0,-4.0,-13.0,0.0,0.0,-175.0,-9.0,1.0,-250.0,0.0,-62.0,-400.0,-13.0,107.5,4975.0,-250.0,2.0,85.0,-5.0,-242.0,-400.0,-7.0,-265.0,-187.5,6.0,-2.5,0.0,5151.0,0.0,64.0,79.0,0.0,0.0,0.0,0.0,0.0
2019-05-13,40300,-10.600000000000025,782780.0,4335.0,-10490000.0,-3.0800000000000125,3130000.0,0.0,0.0,0.0,-10.0,-679.0,-230.0,-414.0,1.0,1.0,0.0,3.0,-11.0,-7.0,0.0,-5.0,0.0,-433.0,0.0,0.0,0.0,-354.0,0.0,0.0,0.0,4975.0,0.0,4.0,0.0,-5.0,-388.0,0.0,-13.0,0.0,0.0,0.0,-2.5,0.0,5151.0,0.0,64.0,79.0,0.0,0.0,0.0,0.0,0.0
2019-05-20,40000,5.399999999999977,718240.0,4414.0,2350000.0,1.3600000000000136,1950000.0,0.0,0.0,0.0,4.0,-363.0,33.0,-42.0,1.0,2.5,0.0,6.0,4.0,-2.0,0.0,-5.0,0.0,-463.0,1.0,0.0,0.0,-66.0,0.0,-2.0,0.0,4975.0,0.0,1.0,0.0,2.5,-160.0,0.0,4.0,0.0,0.0,0.0,7.5,0.0,5151.0,0.0,64.0,79.0,0.0,0.0,0.0,0.0,0.0
2019-05-27,40200,4.0,163490.0,4422.0,-5720000.0,0.8600000000000136,1190000.0,0.0,0.0,0.0,16.0,-13.0,-455.0,-30.0,7.0,1.0,0.0,0.0,13.0,17.0,0.0,0.0,0.0,-346.0,9.0,0.0,0.0,-56.0,0.0,2.0,0.0,4975.0,0.0,-3.0,0.0,7.5,-374.0,0.0,16.0,0.0,0.0,-1.0,2.5,102.0,5175.0,-875.0,53.0,80.0,0.0,6.0,-1.0,0.0,0.0
2019-06-03,40200,3.599999999999909,697690.0,4484.0,-1960000.0,0.6800000000000068,2750000.0,0.0,0.0,0.0,-5.0,-115.0,-315.0,-123.0,0.0,0.5,0.0,1.0,-2.0,-3.0,0.0,5.0,0.0,-499.0,0.0,0.0,0.0,-125.0,0.0,-2.0,0.0,4975.0,0.0,-3.0,0.0,-5.0,-320.0,0.0,-7.0,0.0,0.0,-1.5,-5.0,0.0,5175.0,0.0,53.0,80.0,0.0,0.0,0.0,0.0,0.0
2019-06-10,40300,10.0,484930.0,4544.0,-80000.0,0.6999999999999886,1510000.0,0.0,0.0,50.0,2.0,-163.0,-293.0,-285.0,-4.0,-5.0,0.0,1.0,0.0,1.0,0.0,1.0,50.0,58.0,-2.5,75.0,0.0,-510.0,0.0,-2.0,-210.0,5225.0,0.0,-2.0,-465.0,-5.0,-24.0,50.0,-5.0,-10.0,-425.0,-6.0,-5.0,0.0,5175.0,0.0,53.0,80.0,0.0,0.0,0.0,0.0,0.0
2019-06-17,41500,-61.40000000000009,1400000.0,4581.0,1580000.0,-1.1999999999999886,5770000.0,-0.25,0.0,0.0,-12.0,174.0,30.0,-4.0,8.0,-4.0,0.0,7.0,-15.0,-14.0,-10.0,-6.0,0.0,0.0,7.0,0.0,0.0,-79.0,0.0,-6.0,0.0,5225.0,0.0,-3.0,0.0,-10.0,-43.0,0.0,-8.0,0.0,0.0,-2.5,-7.5,0.0,5175.0,0.0,53.0,80.0,0.0,0.0,0.0,0.0,0.0
2019-06-24,40500,-14.400000000000093,467010.0,4537.0,-1180000.0,-3.6999999999999886,4570000.0,0.0,0.0,0.0,-14.0,-40.0,48.0,4.0,7.0,-3.5,0.0,6.0,-10.0,-9.0,-5.0,0.0,0.0,372.0,7.0,0.0,0.0,274.0,0.0,0.0,0.0,5225.0,0.0,-2.0,0.0,-10.0,91.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,5175.0,0.0,53.0,80.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,40500,-16.799999999999955,641650.0,4510.0,-290000.0,-11.5,6040000.0,0.0,0.2368999999999985,0.0,4.0,145.0,30.0,795.0,2.0,1.0,0.0,2.0,3.0,7.0,0.0,-5.0,0.0,170.0,2.0,0.0,0.0,928.0,0.0,5.0,0.0,5225.0,0.0,-2.0,0.0,2.5,262.0,0.0,6.0,0.0,0.0,9.0,2.5,-144.0,5345.0,-245.0,50.0,89.0,-1.0,5.0,14.0,0.0,0.0
2019-07-08,40300,14.200000000000044,607710.0,4476.0,-8420000.0,1.700000000000017,5420000.0,0.0,0.0,-1525.0,14.0,933.0,70.0,195.0,6.0,5.0,-1500.0,5.0,10.0,11.0,0.0,5.0,-700.0,303.0,7.5,-1300.0,-1175.0,175.0,-800.0,3.0,-640.0,5275.0,-100.0,-4.0,-15.0,0.0,645.0,-1525.0,13.0,-1026.0,-462.5,0.0,5.0,0.0,5345.0,0.0,50.0,89.0,0.0,0.0,0.0,0.0,0.0
2019-07-15,39800,-0.8000000000001819,423670.0,4417.0,2630000.0,2.180000000000007,5920000.0,0.0,0.0,0.0,-4.0,1127.0,188.0,506.0,-2.0,4.0,0.0,-2.5,-3.0,-3.0,0.0,0.0,0.0,589.0,-1.5,0.0,0.0,461.0,0.0,10.0,0.0,5275.0,0.0,-4.0,0.0,-5.0,362.0,0.0,-3.0,0.0,0.0,6.0,0.0,0.0,5345.0,0.0,50.0,89.0,0.0,0.0,0.0,0.0,0.0
2019-07-22,39800,12.599999999999907,352920.0,4476.0,-2710000.0,0.1599999999999966,2980000.0,0.0,0.0,0.0,-1.0,113.0,16.0,377.0,1.0,1.5,0.0,1.0,-2.0,0.0,5.0,0.0,0.0,355.0,1.0,0.0,0.0,347.0,0.0,0.0,0.0,5275.0,0.0,-5.0,0.0,0.0,160.0,0.0,-1.0,0.0,0.0,2.5,5.0,0.0,5345.0,0.0,50.0,89.0,0.0,0.0,0.0,0.0,0.0
2019-07-29,40200,2.200000000000045,264590.0,4335.0,-480000.0,-0.3200000000000216,5670000.0,-0.25,0.0,0.0,0.0,516.0,44.0,82.0,-4.0,-1.5,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,16.0,-4.0,0.0,0.0,38.0,0.0,0.0,0.0,5275.0,0.0,-6.0,0.0,0.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,-310.0,5432.0,135.0,49.0,84.0,-5.0,2.5,5.0,0.0,0.0
2019-08-05,40300,-8.399999999999977,1290000.0,4005.0,-7940000.0,-1.6800000000000068,4410000.0,0.0,0.0,-575.0,1.0,164.0,-214.0,-70.0,-1.0,1.5,0.0,-0.5,0.0,0.0,25.0,0.0,-275.0,-27.0,-1.0,-625.0,-375.0,14.0,0.0,0.0,425.0,5675.0,0.0,-9.0,760.0,0.0,40.0,-325.0,-2.0,-241.0,0.0,2.0,5.0,0.0,5432.0,0.0,49.0,84.0,0.0,0.0,0.0,0.0,0.0
2019-08-12,39200,-1.0,695700.0,4009.0,-6180000.0,1.039999999999992,3620000.0,0.0,0.0,0.0,-2.0,111.0,32.0,-151.0,-20.0,-1.5,0.0,-18.0,-4.0,0.0,-5.0,-1.0,0.0,-153.0,-20.0,0.0,0.0,-68.0,0.0,-3.0,0.0,5675.0,0.0,-6.0,0.0,0.0,-38.0,0.0,-3.0,0.0,0.0,-4.5,0.0,0.0,5432.0,0.0,49.0,84.0,0.0,0.0,0.0,0.0,0.0
2019-08-19,38700,17.600000000000023,1250000.0,3831.0,-1250000.0,1.5999999999999943,4270000.0,0.0,0.0,0.0,-8.0,-372.0,22.0,-193.0,-7.0,0.0,0.0,-6.0,0.0,-5.0,0.0,0.0,0.0,-327.0,-7.0,0.0,0.0,-188.0,0.0,0.0,0.0,5675.0,0.0,-3.0,0.0,0.0,-37.0,0.0,-5.0,0.0,0.0,3.5,-2.5,0.0,5432.0,0.0,49.0,84.0,0.0,0.0,0.0,0.0,0.0
2019-08-26,38200,1.0,400370.0,3895.0,160000.0,-0.2600000000000193,1980000.0,0.0,0.0,0.0,-10.0,-693.0,-44.0,-323.0,-2.0,0.0,0.0,-2.0,-9.0,-5.0,-5.0,0.0,0.0,-134.0,-2.0,0.0,0.0,-322.0,0.0,-2.0,0.0,5675.0,0.0,-3.0,0.0,-2.5,-71.0,0.0,-5.0,0.0,0.0,-6.0,-5.0,692.0,5957.0,418.0,53.0,88.0,11.0,-37.5,-30.0,0.0,0.0
2019-09-02,37700,0.2000000000000454,870520.0,4119.0,-7000000.0,-1.1400000000000148,3800000.0,0.0,0.0,0.0,-8.0,-166.0,51.0,29.0,-3.0,-2.5,0.0,-3.0,-14.0,-10.0,-5.0,-9.0,0.0,-14.0,-3.0,0.0,0.0,-70.0,0.0,-5.0,0.0,5675.0,0.0,1.0,0.0,-2.5,-93.0,0.0,-9.0,0.0,0.0,-2.5,-2.5,0.0,5957.0,0.0,53.0,88.0,0.0,0.0,0.0,0.0,0.0
2019-09-09,36900,5.400000000000091,681740.0,4108.0,-150000.0,2.3400000000000034,5540000.0,-0.25,0.0,-600.0,-17.0,-1018.0,151.0,-572.0,6.0,-22.5,0.0,2.0,-18.0,-19.0,-15.0,-3.0,-425.0,-823.0,6.0,-675.0,0.0,-727.0,0.0,-10.0,250.0,5300.0,0.0,0.0,-1120.0,-12.5,-872.0,-500.0,-17.0,-298.0,0.0,-15.0,-15.0,0.0,5957.0,0.0,53.0,88.0,0.0,0.0,0.0,0.0,0.0
2019-09-16,36200,-14.0,1380000.0,4156.0,110000.0,0.4399999999999977,4960000.0,0.0,0.0,0.0,-12.0,42.0,29.0,-353.0,5.0,0.0,0.0,0.0,-13.0,-14.0,-5.0,-15.0,0.0,-37.0,4.0,0.0,0.0,-257.0,0.0,-5.0,0.0,5300.0,0.0,-4.0,0.0,-5.0,-81.0,0.0,-13.0,0.0,0.0,0.0,-2.5,0.0,5957.0,0.0,53.0,88.0,0.0,0.0,0.0,0.0,0.0
2019-09-23,35000,-10.399999999999975,818040.0,4040.0,-3030000.0,-2.299999999999983,6230000.0,0.0,0.0,0.0,-8.0,-506.0,-251.0,-145.0,0.0,-8.5,0.0,3.5,-7.0,-12.0,-5.0,-17.0,0.0,-241.0,0.0,0.0,0.0,-299.0,0.0,-5.0,0.0,5300.0,0.0,-7.0,0.0,-2.5,-219.0,0.0,-7.0,0.0,0.0,-17.5,-2.5,0.0,5957.0,0.0,53.0,88.0,0.0,0.0,0.0,0.0,0.0
2019-09-30,34200,-11.199999999999932,968680.0,3916.0,2030000.0,0.2400000000000091,3700000.0,0.0,0.0,0.0,-6.0,-233.0,-432.0,-615.0,-4.0,-11.5,0.0,1.5,-8.0,-8.0,-20.0,-2.0,0.0,-354.0,-3.5,0.0,0.0,-638.0,0.0,-15.0,0.0,5300.0,0.0,-5.0,0.0,-7.5,-104.0,0.0,-8.0,0.0,0.0,-17.5,-15.0,-1004.0,5274.0,122.0,50.0,81.0,-16.0,0.0,-22.0,0.1000000000000014,0.1099999999999994
2019-10-07,33500,3.200000000000045,1590000.0,3700.0,-7670000.0,-0.4600000000000079,8410000.0,0.0,0.0,-1125.0,0.0,-863.0,-438.0,-293.0,3.0,-10.0,-1075.0,3.0,1.0,2.0,-5.0,-13.0,-525.0,-566.0,3.0,-775.0,-625.0,-318.0,-1350.0,0.0,-1250.0,4125.0,-1100.0,8.0,-1775.0,0.0,-502.0,-1625.0,2.0,-1010.0,-500.0,-2.5,0.0,0.0,5274.0,0.0,50.0,81.0,0.0,0.0,0.0,0.0,0.0
2019-10-14,33300,-12.399999999999975,693820.0,3662.0,-9980000.0,-0.9799999999999898,5110000.0,0.0,0.0,0.0,8.0,-533.0,87.0,-473.0,-1.0,-2.5,0.0,-1.0,7.0,10.0,-5.0,-3.0,0.0,-311.0,-1.0,0.0,0.0,-173.0,0.0,-20.0,0.0,4125.0,0.0,2.0,0.0,0.0,-461.0,0.0,6.0,0.0,0.0,-12.5,-10.0,0.0,5274.0,0.0,50.0,81.0,0.0,0.0,0.0,0.0,0.0
2019-10-21,33500,-10.0,1290000.0,3599.0,230000.0,-2.200000000000017,6410000.0,0.0,0.0,0.0,9.0,-47.0,-75.0,-106.0,-5.0,2.5,0.0,-5.0,10.0,6.0,5.0,0.0,0.0,-234.0,-5.0,0.0,0.0,-108.0,0.0,0.0,0.0,4125.0,0.0,4.0,0.0,10.0,-437.0,0.0,8.0,0.0,0.0,7.5,2.5,0.0,5274.0,0.0,50.0,81.0,0.0,0.0,0.0,0.0,0.0
2019-10-28,33300,7.600000000000023,1380000.0,3617.0,-1310000.0,1.039999999999992,5690000.0,-0.5,0.0,0.0,9.0,17.0,-365.0,-74.0,-1.0,3.5,0.0,0.0,12.0,10.0,5.0,6.0,0.0,-125.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,4125.0,0.0,-2.0,0.0,10.0,-95.0,0.0,9.0,0.0,0.0,12.0,2.5,-1890.0,4040.0,-833.0,46.0,57.0,-30.0,0.0,-5.0,0.0,0.0
2019-11-04,33800,0.0,631550.0,3707.0,0.0,0.0,5160000.0,0.0,0.0,0.0,5.0,164.0,-1542.0,-142.0,-2.0,3.5,0.0,0.0,2.0,5.0,0.0,10.0,0.0,-727.0,-3.0,0.0,0.0,-294.0,0.0,5.0,0.0,4125.0,0.0,-6.0,0.0,2.5,-992.0,0.0,5.0,0.0,0.0,3.0,4.5,0.0,4040.0,0.0,46.0,57.0,0.0,0.0,0.0,0.0,0.0
